# the sound chip of a docomo phone, out of the "MFi" sheet of
# https://docs.google.com/spreadsheets/d/1vA5V1RVu62bW5hsOeuh0jwxBbzRQtnMfmhNjPHSWKWM
#
# model, chip (YAMAHA / FUETREK / ROHM), the part as the sheet says it
# a model is matched without case, "(iS)" of the sheet is written out as its own line
N503i,YAMAHA,MA-2
N503iS,YAMAHA,MA-2
N211i,YAMAHA,MA-2
N211iS,YAMAHA,MA-2
N210i,YAMAHA,MA-2
N2001,YAMAHA,MA-2
N2002,YAMAHA,MA-2
N21,YAMAHA,MA-2
F503i,YAMAHA,MA-2
F503iS,YAMAHA,MA-2
F210i,YAMAHA,MA-2
F211i,YAMAHA,MA-2
F671i,YAMAHA,MA-2
KO210i,YAMAHA,MA-2
R691i,YAMAHA,MA-2
R692i,YAMAHA,MA-2
R211i,YAMAHA,MA-2
N504i,YAMAHA,MA-3
N504iS,YAMAHA,MA-3
N251i,YAMAHA,MA-3
N251iS,YAMAHA,MA-3
N2501,YAMAHA,MA-3
N2701,YAMAHA,MA-3
N2701V,YAMAHA,MA-3
N22,YAMAHA,MA-3
P2102V,YAMAHA,MA-3
SO504i,YAMAHA,MA-3
SO505i,YAMAHA,MA-3
SO212i,YAMAHA,MA-3
SO213i,YAMAHA,MA-3
SO213iS,YAMAHA,MA-3
SO213iWR,YAMAHA,MA-3
N505i,YAMAHA,MA-5S
N505iS,YAMAHA,MA-5S
N252i,YAMAHA,MA-5S
N253i,YAMAHA,MA-5S
N506i,YAMAHA,MA-5S
N506iS,YAMAHA,MA-5S
N900i,YAMAHA,MA-5S
N900iL,YAMAHA,MA-5S
N900iG,YAMAHA,MA-5S
N900iS,YAMAHA,MA-5S
N901iS,YAMAHA,MA-5
N901iC,YAMAHA,MA-5
N700i,YAMAHA,MA-5
N701i,YAMAHA,MA-5
N702i,YAMAHA,MA-5
N902i,YAMAHA,MA-5
N902iS,YAMAHA,MA-5
N902iX,YAMAHA,MA-5
SO211i,FUETREK,PCM24 + NEC
D211i,FUETREK,PCM24 + NEC
P252i,FUETREK,48A
P252iS,FUETREK,48A
P253i,FUETREK,48A
P505i,FUETREK,48A
P505iS,FUETREK,48A
P506iC,FUETREK,48A
D505i,FUETREK,48A
D505iS,FUETREK,48A
D506i,FUETREK,48A
D900i,FUETREK,48A
SO505iS,FUETREK,64B + NEC
SO506iC,FUETREK,64B + NEC
SH252i,FUETREK,64B + NEC
SH505iS,FUETREK,64B + NEC
SH506iC,FUETREK,64B + NEC
SH700i,FUETREK,64B + NEC
SH700iS,FUETREK,64B + NEC
SH851i,FUETREK,64B + NEC
SH900i,FUETREK,64B + NEC
SH901i,FUETREK,64B + NEC
SH901iC,FUETREK,64B + NEC
SH902i,FUETREK,64B + NEC
SH902iS,FUETREK,64B + NEC
SO902i,FUETREK,PCM128
SO903i,FUETREK,PCM128
SH903i,FUETREK,PCM128
F882iES,FUETREK,PCM128
F903i,FUETREK,PCM128
SA702i,FUETREK,PCM128
P903i,FUETREK,PCM128
D903i,FUETREK,PCM128
N903i,FUETREK,PCM128
P503i,ROHM,PCM16
P503iS,ROHM,PCM16
P210i,ROHM,PCM16
P2002,ROHM,PCM16
P2101V,ROHM,PCM16
D503i,ROHM,PCM16
D210i,ROHM,PCM16
D2101V,ROHM,PCM16
SH2101V,ROHM,PCM16
T2101V,ROHM,PCM16
P211i,ROHM,BU8788KN
D504i,ROHM,BU8788KN
D251i,ROHM,BU8788KN
D251iS,ROHM,BU8788KN
D252i,ROHM,BU8788KN
F504i,ROHM,BU8788KN
F251i,ROHM,BU8788KN
F212i,ROHM,BU8788KN
F671iS,ROHM,BU8788KN
F661i,ROHM,BU8788KN
F2051,ROHM,BU8788KN
SH251i,ROHM,BU8788KN
P504i,ROHM,BU8788KN
P504iS,ROHM,BU8788KN
P251iS,ROHM,BU8788KN
SH251iS,ROHM,BU8788KN
SH505i,ROHM,BU8709KN
F505i,ROHM,BU8709KN
F505iGPS,ROHM,BU8709KN
F506i,ROHM,BU8709KN
F2102V,ROHM,BU8709KN
F900i,ROHM,BU8709KN
F900iT,ROHM,BU8709KN
F900iC,ROHM,BU8709KN
F901iC,ROHM,BU8709KN
F901iS,ROHM,BU8709KN
F700i,ROHM,BU8709KN
F700iS,ROHM,BU8709KN
F881iES,ROHM,BU8709KN
D901i,ROHM,BU8709KN
D901iS,ROHM,BU8709KN
D701i,ROHM,BU8709KN
P900i,ROHM,BU8709KN
P900iV,ROHM,BU8709KN
P700i,ROHM,BU8709KN
P701iD,ROHM,BU8709KN
P901i,ROHM,BU8709KN
P901iS,ROHM,BU8709KN
SA700iS,ROHM,BU8709KN
SA800i,ROHM,BU8709KN
M702iG,ROHM,
M702iS,ROHM,
